Question,Response
"Linux操作系统的版本号包括（）
A. 内核版本号
B. 外壳版本号
C. 发行版本号
D. shell版本号
正确答案: AC","# 知识点：
【内核版本号】Linux系统的内核版本号是用来标识Linux内核的唯一标识。Linux内核是操作系统的核心，负责管理系统的内存、设备、文件系统和进程等。内核版本号通常由三部分组成：主版本号、次版本号和修订版本号。例如，在版本号2.6.32中，“2”是主版本号，“6”是次版本号，“32”是修订版本号。主版本号和次版本号的变化通常代表了重大的功能改进或者架构改变，修订版本号的变化则代表了一些错误修复或者小的功能改进。

【发行版本号】Linux发行版是指将Linux内核与应用软件和管理工具等打包在一起，形成一套完整的操作系统。每个Linux发行版都有自己的版本号，用来标识这个发行版的特定版本。发行版本号通常会在发行版的名字后面，比如Ubuntu 18.04，其中“18.04”就是Ubuntu的发行版本号。

【外壳版本号】和【shell版本号】并不是Linux系统版本号的组成部分。在Linux中，“外壳”和“shell”通常指的是用户和操作系统交互的界面。常见的shell包括bash、sh、csh、ksh等，每种shell都有自己的版本号，但它们并不是Linux操作系统版本号的一部分。

# 分析：
题目问的是Linux操作系统的版本号包括哪些部分。根据上述知识点，我们知道Linux操作系统的版本号主要由内核版本号和发行版本号组成，而外壳版本号和shell版本号并不是Linux操作系统版本号的组成部分。

# 答案：
A. 内核版本号
C. 发行版本号"
"FSF(Free Software Foundation)组织中，Free的含义是免费。
A. 对
B. 错
正确答案: 错","# 知识点：
【FSF（Free Software Foundation）】：FSF是由理查德·斯托曼于1985年创建的一个非营利性组织，旨在推广计算机用户的自由。FSF的使命是确保计算机用户有权使用，研究，修改和分发计算机软件。他们推广自由软件的概念，即用户对软件的四个基本自由：使用自由、学习自由、修改自由和分发自由。

【Free Software】：Free在Free Software中的含义并不是免费，而是自由。这种自由是指用户对软件的使用、复制、分发、研究和修改的权利。这是由FSF提出的概念，与开源软件有所不同，尽管两者在实际的许可证和实践中有很大的重叠。

# 分析：
题目中的陈述""FSF(Free Software Foundation)组织中，Free的含义是免费""是错误的。在FSF的背景下，""Free""的含义并不是""免费""，而是指""自由""。这种自由指的是用户对软件的使用、复制、分发、研究和修改的权利，而不仅仅是无需支付费用。

# 答案：
B. 错"
"用户修改在GPL协议下发布的软件，再发布时可以添加自己的限制条件。
A. 对
B. 错
正确答案: 错","# 知识点：
【GPL协议】GNU通用公共许可证（GNU General Public License，简称：GNU GPL，或者GPL）是一个广泛用于软件和其他种类的自由作品的免费软件许可证，保障了所有的终端用户都有使用、研究、分享（复制），以及修改软件的权利。GPL是由Richard Stallman为GNU计划而写，主要的目的是让GNU计划下的软件保持自由软件的状态，不被那些不愿分享他们改进过的源代码的系统厂商所利用。

GPL协议的主要条款包括：
1. 你可以自由运行此程序，无论其用途是什么。
2. 你可以自由研究程序是如何运作的，并改变它让它按你所期望的方式工作。为此你必须可以访问源代码。
3. 你可以自由复制和分发程序的副本。
4. 你可以改进程序，并公开发布你的改进（或者你的服务提供商可以这样做），这样一来整个社区都可以受益。为此你必须以GPL许可证公开发布你的改进。

# 分析：
题目描述了一个用户修改了在GPL协议下发布的软件，并想在发布时添加自己的限制条件。根据GPL协议的规定，用户有权修改软件并发布修改后的版本，但是必须以GPL许可证公开发布改进，不能添加额外的限制条件。因此，用户不能在发布时添加自己的限制条件。

# 答案：
B. 错"
"UNIX从一开始就是用C语言编写的。
A. 对
B. 错
正确答案: 错","# 知识点：
【UNIX】UNIX是一个强大的多用户、多任务操作系统，它既可以作为服务器运行，也可以安装在个人计算机上作为用户的桌面系统。UNIX系统的设计理念是“让每个东西都保持简单”，它提供了一组小的、简单的、以文本流为中心的工具，这些工具可以通过管道组合在一起，生成复杂的工作流程。

【C语言】C语言是一种通用的、过程式的计算机编程语言，支持结构化编程、词汇变量作用域和递归等特性，其设计提供了低级别的访问内存，通过语言构造表示高级概念，如复杂的表达式、数据类型和控制结构。C语言被广泛应用于开发操作系统、各种应用软件等。

# 分析：
题目的主要内容是UNIX的开发语言。UNIX系统最初并非用C语言编写，而是用汇编语言编写。直到1973年，Unix的大部分部分被重新用C语言编写。这是因为C语言提供了比汇编语言更高级别的抽象，使得代码更易于理解和修改，同时，C语言编写的代码也具有良好的可移植性，可以在不同的硬件平台上运行。

# 答案：
B. 错"
"UNIX被注册为软件商标，最早由AT&T公司持有。
A. 对
B. 错
正确答案: 对","# 知识点：
【UNIX】UNIX是一种强大的多用户、多任务操作系统，它可以支持一台机器的多个用户同时操作，也可以让一个用户同时进行多个操作。UNIX系统有许多版本，但都源于1969年在美国贝尔实验室开发的一种系统。UNIX系统是开放源代码的，这意味着用户可以阅读、修改和发布源代码。

【软件商标】在信息技术行业中，软件商标是一种法律保护，它可以保护软件产品和服务不被他人侵犯。商标注册通过法律手段确保了商标所有人的独特权益。商标包括文字、图象、字母、数字、三维标志和颜色组合，以及上述元素的任意组合。一旦注册，商标所有者有权限制其他人使用相同或相似的标志。

# 分析：
根据题目的描述，需要判断的事实是“UNIX被注册为软件商标，最早由AT&T公司持有。”这涉及了两个知识点：UNIX和软件商标。UNIX确实是一种软件，并且最早是由AT&T公司开发并持有。根据商标法，AT&T有权将UNIX注册为软件商标。

# 答案：
A. 对
"
"shell是命令解释器，位于UNIX的内核中。
A. 对
B. 错
正确答案: 错","# 知识点：
【Shell】Shell 是一个命令行解释器，为用户提供了一个向 Linux 内核发送请求以便运行程序的界面系统级程序。用户可以使用 shell 来启动、挂起、停止甚至是编写一些程序。

Shell 还是一个功能强大的编程语言，易编写，易调试，灵活性较强。Shell 是解释执行的脚本语言，在 Shell 中可以直接调用 Linux 系统命令。Shell 和系统核心是分别独立的，两者之间通过系统调用进行通信。

【UNIX】UNIX 是一个强大的多用户、多任务操作系统，支持多种处理器架构。它的发展经历了很多版本，如 System V、BSD 等，现在市面上有很多 UNIX 的变种，如 Solaris、AIX、HP-UX、Linux 等。

【内核(Kernel)】内核是操作系统的核心部分，它直接与硬件交互，提供了一个抽象层让上层软件（如 Shell）不需要知道硬件的具体实现细节。它负责管理系统的内存、设备、文件和进程等资源，以及响应系统调用，使得用户程序可以使用设备、读写文件和创建进程等。

# 分析：
题目的陈述是“Shell是命令解释器，位于UNIX的内核中”。根据我们对 Shell 和内核的理解，我们知道 Shell 并不位于内核中，而是运行在用户空间的一个程序，它通过系统调用与内核交互。因此，题目的陈述是错误的。

# 答案：
B. 错"
"使用远程登录软件登录系统后，使用who命令看到该用户的登录终端类型为（）
A. 控制台console
B. 远程终端
C. 伪终端pts
D. 虚拟终端tty
正确答案: C","# 知识点：
【who命令】who 命令用来打印当前登录的用户信息，包含了系统的启动时间、活动进程、使用者 ID、使用终端等信息，是系统管理员了解系统运行状态的常用命令。命令使用说明：
```
who [<OPTION>]... [ <FILE> | <ARG1> <ARG2> ]
-a, --all
  	等于 -b -d --login -p -r -t -T -u 选项的组合。
-b, --boot
	上次系统启动时间。
-d, --dead
  	显示已死的进程。
-H, --heading
	输出头部的标题列。
-l，--login
	显示系统登录进程。
--lookup
	尝试通过 DNS 查验主机名。
-m
	只面对和标准输入有直接交互的主机和用户。
-p, --process
	显示由 init 进程衍生的活动进程。
-q, --count
	列出所有已登录用户的登录名与用户数量。
-r, --runlevel
	显示当前的运行级别。
-s, --short
	只显示名称、线路和时间(默认)。
-T, -w, --mesg
	用 +，- 或 ? 标注用户消息状态。
-u, --users
	列出已登录的用户。
--message
	等于 -T。
--writable
	等于 -T。
--help
	显示此帮助信息并退出。
--version
	显示版本信息并退出。
```


【终端类型】Linux系统中有多种类型的终端，包括控制台(console)，远程终端，伪终端(pts)和虚拟终端(tty)。控制台是直接连接到计算机的物理设备，通常是键盘和显示器。远程终端是通过网络连接到计算机的设备。伪终端(pts)是一种模拟的终端，通常用于远程登录。虚拟终端(tty)是Linux系统中的一个设备文件，用于表示一个字符设备，可以接收用户的输入并显示输出。

# 分析：
题目描述了一个用户使用远程登录软件登录系统，然后使用who命令查看登录信息。由于用户是通过远程登录软件登录的，所以他们的登录终端类型应该是没有物理设备的虚拟设备，即伪终端(pts)。

# 答案：
C. 伪终端pts"
"命令中选项的作用是（）
A. 指明命令作用的对象
B. 加速命令执行
C. 调整命令的执行行为
D. 调整命令优先级
正确答案: C","# 知识点：
【命令行选项】在Linux中，命令行选项（也称为参数或标志）是用来调整命令的执行行为的。它们通常在命令之后，由一个短划线（-）或两个短划线（--）开头，后面跟着一个或多个字母或单词。例如，ls -l 或 rm --force。每个命令可能有自己特定的一组选项，这些选项可以改变命令的行为，使其执行特定的操作，或按特定方式显示输出。

【命令作用的对象】在Linux中，命令通常需要一些参数，这些参数指明命令要操作的对象。例如，rm file.txt 中的 file.txt 就是 rm 命令的对象。

【命令执行的优先级】在Linux中，可以使用 nice 和 renice 命令来调整命令的优先级。这些命令可以改变进程的优先级，使其获得更多或更少的CPU时间。

【命令执行的速度】命令的执行速度取决于许多因素，包括系统负载、命令的复杂性、输入和输出的数据量等。命令行选项本身不会直接影响命令的执行速度。

# 分析：
题目询问的是命令中选项的作用。根据上述知识点，我们知道命令行选项是用来调整命令的执行行为的，而不是指明命令作用的对象、加速命令执行或调整命令优先级。

# 答案：
C. 调整命令的执行行为"
"UNIX系统中的管理员是？
A. adminstrator
B. root
C. sys
D. admin
正确答案: B","# 知识点：
【UNIX系统】UNIX是一种强大的多用户、多任务操作系统，支持多种处理器架构。UNIX系统的设计目标是提供简单、一致、易于使用的工具，它们可以通过管道和脚本组合在一起，创建复杂的工作流程。

【管理员账户】在操作系统中，管理员账户是具有最高权限的账户，可以进行一些普通用户无法进行的操作，例如安装和卸载应用程序，更改系统设置，管理其他用户账户等。

【root账户】在UNIX和类UNIX系统（如Linux）中，root是系统管理员的用户名称。root用户具有超级用户权限，可以访问系统中的所有文件，执行所有命令，以及对系统进行任何更改。root用户的UID和GID通常都是0。

【adminstrator、sys、admin账户】这些都是在某些系统中可能出现的管理员账户名称，但在UNIX和类UNIX系统中，系统管理员的默认用户名是root。

# 分析：
题目询问的是UNIX系统中的管理员是谁。在UNIX和类UNIX系统中，系统管理员的默认用户名是root。因此，考虑到UNIX系统的特性和管理员账户的定义，我们可以确定UNIX系统中的管理员是root。

# 答案：
B. root"
"内部命令又称为（）
A. 系统工具程序
B. shell命令
C. 磁盘命令
D. 内存命令
正确答案: B","# 知识点：

【内部命令】: 内部命令，也被称为shell命令，是一类直接由shell进程解释执行的命令。这些命令不需要生成新的进程就可以在原来的shell进程中运行。因此，他们的执行速度通常非常快。一些常用的内部命令包括cd（改变目录）、echo（输出字符串或变量）、set（设置环境变量）、unset（取消环境变量）等。

【系统工具程序】: 系统工具程序是系统级别的工具，它们是提供实用或者其他功能的程序。这包括一些用户界面程序和命令行程序。但并不所有的系统工具程序都被视为内部命令，因为一些系统工具实际上是外部命令而非shell的内部命令。

【磁盘命令】与【内存命令】: 这两类命令是指用来操作硬盘或内存的一些命令，比如df，du（硬盘使用情况），free，top（内存使用情况）。这些不是内部命令的别称，但可以是内部命令或外部命令。

# 分析：

这个问题是在询问内部命令的别称。从定义上讲，内部命令是shell所管理和解释执行的命令，因此我们可以称其为""shell命令""。其他选项，如""系统工具程序""，""磁盘命令""，和""内存命令""，虽然描述了程序或命令的类型，但他们并不是内部命令的别名。

# 答案：

B. shell命令"
"已知mkdir为GNU项目开发的外部命令，下面哪个命令无法获得该命令的帮助信息（）
A. man mkdir
B. mkdir --help
C. info mkdir
D. help mkdir
正确答案: D","# 知识点：
【man命令】man命令是Linux系统下的一款查看帮助文档的工具，man后面跟上具体的命令，就可以查看该命令的帮助信息。

【--help选项】在Linux系统中，很多命令后面加上--help选项，都可以查看该命令的简短帮助信息。

【info命令】info命令是GNU项目开发的一个帮助系统，可以查看GNU项目开发的命令的帮助信息。

【help命令】help命令是用来获取bash内建命令的帮助信息的。内建命令是bash shell自带的命令，不需要调用外部程序。例如cd、echo等。

【mkdir命令】mkdir命令用于在Linux系统中创建目录。这是一个外部命令，不是bash的内建命令。

# 分析：
题目询问哪个命令无法获得mkdir命令的帮助信息。由于mkdir是一个外部命令，所以man mkdir、mkdir --help和info mkdir都可以获取到mkdir命令的帮助信息。但是，help命令只能获取内建命令的帮助信息，mkdir不是内建命令，所以help mkdir无法获取mkdir命令的帮助信息。

# 答案：
D. help mkdir"
"用户登录成功后，命令行是由哪个系统组件显示出来的？
A. 常驻模块
B. shell
C. 应用工具
D. 内核
正确答案: B","# 知识点：
【命令行界面】命令行界面（Command-Line Interface，CLI）是一种基于文本的界面，用于查看和管理计算机文件和目录，执行各种任务，处理各种服务等。用户通过键盘输入特定的命令，计算机接收到命令后，解释并执行，然后返回结果。CLI提供了大量的灵活性和控制力，尤其是在处理复杂的任务时。

【shell】在Linux系统中，shell是一个命令行解释器，它为用户提供了一个向Linux内核发送请求以便运行程序的界面系统级程序。用户可以在shell提示符下输入命令，shell读取并解析这些命令，然后调用相应的程序来执行这些命令。常见的shell包括bash，sh，csh，tcsh，ksh，zsh等。

【常驻模块】常驻模块是指在计算机系统中一直保持运行的程序模块，它们通常是操作系统的一部分，提供各种基本服务。

【应用工具】应用工具是为了完成特定任务而设计的程序，例如文本编辑器，电子表格程序，数据库管理系统等。

【内核】内核是计算机操作系统的核心，负责管理系统的硬件资源，提供程序运行环境。内核负责处理如内存管理，设备管理，文件系统等底层操作。

# 分析：
用户登录成功后，命令行是由哪个系统组件显示出来的？这个问题涉及到的是操作系统的工作原理和组成部分。在Linux系统中，当用户登录成功后，命令行界面是由shell提供的。用户在命令行界面中输入命令，这些命令被shell解析并执行。因此，选项B ""shell""是正确的。

# 答案：
B. shell"
"在命令中输入出现错误，想删除整行字符，使用命令？
A. ctrl+u
B. 按键backspace
C. ctrl+h
D. ctrl+c
正确答案: A","# 知识点：

【Linux命令行快捷键】在Linux的命令行中，有一些快捷键可以帮助我们更有效地进行操作。以下是一些常用的快捷键：
- `ctrl + a`：移动光标到行首。
- `ctrl + e`：移动光标到行尾。
- `ctrl + u`：删除光标位置前的所有字符。
- `ctrl + k`：删除光标位置后的所有字符。
- `ctrl + w`：删除光标前的一个单词。
- `ctrl + y`：粘贴最近一次删除的内容。
- `ctrl + l`：清屏。
- `ctrl + c`：终止当前进程。
- `ctrl + z`：将当前进程放入后台运行。
- `ctrl + r`：反向搜索命令历史。

【Backspace键】在计算机键盘上，Backspace键用于删除光标左侧的字符。

【Ctrl + H】在某些情况下，Ctrl + H可以用作Backspace键的替代，删除光标左侧的一个字符。

【Ctrl + C】在Unix和Linux系统中，Ctrl + C通常用于发送SIGINT（中断）信号，用于终止当前运行的进程。

# 分析：
题目问的是如何删除整行字符。在Linux命令行中，`ctrl + u`快捷键可以删除光标位置前的所有字符。如果光标在行尾，这个快捷键就可以删除整行字符。而其他选项，如Backspace键、Ctrl + H和Ctrl + C，都不能达到这个效果。

# 答案：
A. ctrl+u"
