,title,content,questions
10,信号,"在Linux中，信号是一种软件中断，用于进程间通信或操作系统与进程间的通信。常见的信号有：
- SIGHUP (1)：终端挂起或者控制进程终止
- SIGINT (2)：中断进程（相当于按下Ctrl+C）
- SIGQUIT (3)：退出进程
- SIGKILL (9)：无条件终止进程
- SIGTERM (15)：尽可能终止进程
- SIGSTOP (17,19,23)：无条件停止进程，但是该信号可以被处理和忽略
- SIGTSTP (18,20,24)：停止或者暂停进程，但是该信号可以被处理和忽略","若使pid进程无条件终止使用的命令是（）。
A.kill-9
B.kill-15 
C.killall-1
D.kill-3"
11,compress命令,"compress命令在Unix和类Unix系统中用于压缩文件。这个命令使用Lempel-Ziv编码（特别是LZ77算法），生成具有.Z扩展名的压缩文件。这个命令的使用格式如下：
```
compress [ -dfvcVr ] [ -b bits ] [ name ... ]
```
其中，-d选项用于解压缩文件。",使用compress命令压缩后的文件，可以使用()命令进行解压缩。
12,uncompress命令,"uncompress命令在Unix和类Unix系统中用于解压缩由compress命令压缩的文件。这个命令会删除原始的.Z文件，并将解压缩的文件恢复到其原始名称。这个命令的使用格式如下：
```
uncompress [ -fvcVr ] [ name ... ]
```",使用compress命令压缩后的文件，可以使用()命令进行解压缩。
13,man命令,man命令是Linux系统下的一款查看帮助文档的工具，man后面跟上具体的命令，就可以查看该命令的帮助信息。,"已知mkdir为GNU项目开发的外部命令，下面哪个命令无法获得该命令的帮助信息（）
A. man mkdir
B. mkdir --help
C. info mkdir
D. help mkdir"
14,--help选项,在Linux系统中，很多命令后面加上--help选项，都可以查看该命令的简短帮助信息。,"已知mkdir为GNU项目开发的外部命令，下面哪个命令无法获得该命令的帮助信息（）
A. man mkdir
B. mkdir --help
C. info mkdir
D. help mkdir"
15,info命令,info命令是GNU项目开发的一个帮助系统，可以查看GNU项目开发的命令的帮助信息。,"已知mkdir为GNU项目开发的外部命令，下面哪个命令无法获得该命令的帮助信息（）
A. man mkdir
B. mkdir --help
C. info mkdir
D. help mkdir"
16,help命令,help命令是用来获取bash内建命令的帮助信息的。内建命令是bash shell自带的命令，不需要调用外部程序。例如cd、echo等。,"已知mkdir为GNU项目开发的外部命令，下面哪个命令无法获得该命令的帮助信息（）
A. man mkdir
B. mkdir --help
C. info mkdir
D. help mkdir"
17,mkdir命令,mkdir命令用于在Linux系统中创建目录。这是一个外部命令，不是bash的内建命令。,"已知mkdir为GNU项目开发的外部命令，下面哪个命令无法获得该命令的帮助信息（）
A. man mkdir
B. mkdir --help
C. info mkdir
D. help mkdir"
18,Vim编辑器,Vim是一个文本编辑器，广泛用于Linux环境，它有两种主要的模式：命令模式和插入模式。在命令模式中，可以使用键盘快捷键来移动光标、复制和粘贴文本、以及执行其他命令。,"命令模式下，按回车键或按键j，都能使光标下移1行
A. 对
B. 错"
19,Vim命令模式,"在Vim的命令模式下，键盘的每个键都被视为一个命令，而不是输入字符。例如，""h""键使光标向左移动，""l""键使光标向右移动，""j""键使光标向下移动，""k""键使光标向上移动。","命令模式下，按回车键或按键j，都能使光标下移1行
A. 对
B. 错"
20,回车键在Vim命令模式下的行为,在Vim命令模式下，回车键的功能是使光标下移一行。,"命令模式下，按回车键或按键j，都能使光标下移1行
A. 对
B. 错"
21,find命令,"find命令是在Linux系统中用于在目录结构中搜索文件的命令。它可以根据文件名、大小、修改时间等条件进行搜索，并可以执行相应的操作。命令使用说明：
```
find <path> [expression]
```","使用find命令将在cpp1目录中找到以.c为结尾的文件并且将他们都拷贝到目录cpp2中的命令是（）。
A. find cpp1 -name *.c -exec cp cpp2 {} \;
B. find cpp1 -name *.c -exec cp {} cpp2 \;
C. find cpp1 -name ""*.c"" -exec cp {} cpp2 \;
D. find cpp1 -name ""*.c"" -exec cp cpp2 {} \;"
22,-name选项,-name选项用于在find命令中指定要搜索的文件名。可以使用通配符（如*、?等）来匹配多个文件。,"使用find命令将在cpp1目录中找到以.c为结尾的文件并且将他们都拷贝到目录cpp2中的命令是（）。
A. find cpp1 -name *.c -exec cp cpp2 {} \;
B. find cpp1 -name *.c -exec cp {} cpp2 \;
C. find cpp1 -name ""*.c"" -exec cp {} cpp2 \;
D. find cpp1 -name ""*.c"" -exec cp cpp2 {} \;"
23,-exec选项,-exec选项用于在find命令中对搜索到的文件执行指定的操作。操作可以是任何Linux命令，其中{}表示搜索到的文件，\;表示-exec选项的结束。,"使用find命令将在cpp1目录中找到以.c为结尾的文件并且将他们都拷贝到目录cpp2中的命令是（）。
A. find cpp1 -name *.c -exec cp cpp2 {} \;
B. find cpp1 -name *.c -exec cp {} cpp2 \;
C. find cpp1 -name ""*.c"" -exec cp {} cpp2 \;
D. find cpp1 -name ""*.c"" -exec cp cpp2 {} \;"
24,cp命令,"cp命令用于在Linux系统中复制文件或目录。命令使用说明：
```
cp [OPTION]... [-T] SOURCE DEST
cp [OPTION]... SOURCE... DIRECTORY
cp [OPTION]... -t DIRECTORY SOURCE...
```","使用find命令将在cpp1目录中找到以.c为结尾的文件并且将他们都拷贝到目录cpp2中的命令是（）。
A. find cpp1 -name *.c -exec cp cpp2 {} \;
B. find cpp1 -name *.c -exec cp {} cpp2 \;
C. find cpp1 -name ""*.c"" -exec cp {} cpp2 \;
D. find cpp1 -name ""*.c"" -exec cp cpp2 {} \;"
25,cp命令,"cp（copy）命令用于复制文件或目录。它可以将文件复制到另一个文件，或将一个或多个文件复制到另一个目录。cp命令的基本语法如下：
```
cp [OPTION]... SOURCE... DIRECTORY
```
常用选项：
```
-i, --interactive
    在覆盖目标文件之前提示用户。
-r, -R, --recursive
    递归地复制目录及其子目录下的所有文件。
-p, --preserve
    保留文件的属性（如模式、所有权、时间戳等）。
-u, --update
    仅在源文件较新时才复制文件。
-v, --verbose
    显示详细的操作过程。
```","dir是当前目录中一个已存在的目录，cp filea dir命令成功执行后，会生成文件filea的副本，名为dir。
A. 对
B. 错"
26,Linux目录结构,"Linux系统的文件系统是以树状结构来组织的，所有的文件和目录都从根目录""/""开始。Linux系统中有许多特定的目录，每个目录都有其特定的用途。以下是一些主要的目录及其用途：

- /bin：这个目录存放着最经常使用的命令，例如ls, cp, rm等。这些命令由所有用户共享。
- /tmp：这个目录用于存放临时文件，系统重启时，这个目录下的文件会被删除。
- /lib：这个目录里存放着系统最基本的动态连接共享库，其作用类似于Windows里的DLL文件。几乎所有的应用程序都需要用到这些共享库。
- /root：这是系统管理员（root用户）的主目录，只有root有权查看此目录，普通用户没有权限查看。","存放Linux基本命令的目录是什么（）?
A./bin
B./tmp
C./lib
D./root"
27,wc命令,"wc（word count）命令用于计算数字、字母、字符、词的数量，或者计算文件的大小。在Linux中，文件的大小通常是以行数、字数或字节数来衡量的。wc命令就可以很好地完成这些任务。命令的使用格式为：
```
wc [选项]... [文件]...
```
其中，选项包括：
```
-c, --bytes 或 --chars
    只显示 Bytes 数。
-m, --chars
    只显示字符数。在多字节编码的情况下，这个选项返回实际的字符数，而不是字节数。
-l, --lines
    只显示行数。
-L, --max-line-length
    打印最长行的长度。
-w, --words
    只显示字数。
--help
    显示帮助信息并退出。
--version
    显示版本信息并退出。
```","wc命令统计字数的选项是（）。
A. c
B. w
C. count
D. word"
28,命令行参数,在Linux中，命令行参数是用户在输入命令时，跟在命令名之后的部分，用来指定命令行为的细节。命令行参数包括选项（也叫做标志或开关）和参数。选项通常用来修改命令的行为，而参数通常用来指明命令作用的对象。例如，在命令`cp file1 file2`中，`cp`是命令，`file1`和`file2`是参数，表示复制命令的源文件和目标文件。,"命令中参数的作用是（）
A. 调整命令的执行行为
B. 调整命令优先级
C. 指明命令作用的对象
D. 加速命令执行"
29,Git工具,Git是一个分布式版本控制系统，它允许多人同时在各自的开发环境中工作，并在他们完成工作后进行更改的合并。它的主要优点在于其能够进行分散协作以及其强大的处理大项目的能力。,"使用git工具创建分支的选项是？
A. branch
B. checkout
C. fork
D. clone"
30,Git Branch,"Git的branch命令用于创建、列举、删除或重命名分支。分支是Git中重要的概念，允许开发者在同一份代码库上并行进行多项工作。命令使用说明：
```
git branch <branch_name>","使用git工具创建分支的选项是？
A. branch
B. checkout
C. fork
D. clone"
31,执行权限,在Linux系统中，对于文件和目录，都有三种权限：读（r）、写（w）、执行（x）。对于普通的文件，执行权限表示用户是否可以执行该文件。如果文件是一个可执行的程序或脚本，用户只有在拥有执行权限的情况下才能运行它。,"使用 . 和sh命令执行脚本时，也需要用户对脚本有执行权限，才能执行。
A. 对
B. 错"
32,. 命令,"在Linux中，"".""命令用于在当前shell环境中执行脚本，而不是创建新的子shell来执行。这意味着脚本中定义的所有变量和环境变量更改都会影响到当前的shell环境。","使用 . 和sh命令执行脚本时，也需要用户对脚本有执行权限，才能执行。
A. 对
B. 错"
33,sh命令,sh命令在新的子shell环境中运行shell脚本。这意味着脚本中定义的所有变量和环境变量更改不会影响到当前的shell环境。,"使用 . 和sh命令执行脚本时，也需要用户对脚本有执行权限，才能执行。
A. 对
B. 错"
34,cd命令,"cd (Change Directory) 是一个在 Unix 和类 Unix 系统（如 Linux）中的 shell 命令，用于改变工作目录。命令使用方法：
```
cd [option] [directory]
```","如何快速切换到用户John的主目录下？（）
A.cd @John 
B.cd #John 
C.cd &John 
D.cd ~John"
35,主目录,在 Linux 系统中，每个用户都有一个专属的主目录，通常以该用户的用户名命名，位于/home/目录下。主目录是用户的工作空间，用户可以在其中创建、删除文件和目录，安装软件等。,"如何快速切换到用户John的主目录下？（）
A.cd @John 
B.cd #John 
C.cd &John 
D.cd ~John"
36,快速路径引用,Linux 中使用~符号可以快速引用用户的主目录。例如，~john 就是指向用户 John 的主目录的。,"如何快速切换到用户John的主目录下？（）
A.cd @John 
B.cd #John 
C.cd &John 
D.cd ~John"
37,Linux目录结构,"Linux系统的目录结构是一个树状结构，每个目录都有其特定的含义和用途。以下是一些重要的目录：

- /sbin：这个目录存放的是系统管理员使用的系统管理程序，例如启动、修复或恢复系统的命令。一般用户在单用户模式下可以使用这些命令，但在多用户模式下只有管理员可以使用。

- /bin：这个目录存放的是系统的基本命令，这些命令是所有用户都可以使用的，包括系统管理员和一般用户。这些命令是二进制文件，可以直接由系统执行。

- /etc：这个目录存放的是系统的配置文件，这些文件通常是文本文件，可以用文本编辑器打开和编辑。这些文件通常只有系统管理员可以修改。

- /bash：这个目录并不存在于标准的Linux目录结构中。","shell程序保存在哪个目录中？
A. /sbin
B. /bin
C. /etc
D. /bash"
38,Shell程序,Shell是Linux系统的命令解释器，它可以接收和解释用户输入的命令，然后调用系统的功能来执行这些命令。Shell程序是一种特殊的程序，它是用Shell命令编写的，可以被Shell解释和执行。Shell程序通常保存为文本文件，这个文件中包含了一系列的Shell命令。,"shell程序保存在哪个目录中？
A. /sbin
B. /bin
C. /etc
D. /bash"
39,前台执行与后台执行,在Linux环境中，用户可以以前台或后台模式运行进程。前台执行的进程占据终端，封锁键盘，直到该进程执行完毕。在进行某些需要互动的任务时，该进程需要在前台进行。比如，需要从用户接收输入的程序。相反，后台执行的进程不会封锁键盘，即使该进程仍在运行，用户仍然可以在终端输入其它命令。后台执行的进程常常用于那些长时间运行但不需要用户交互的任务。,"命令在前台执行时封锁键盘，命令在后台执行时不封锁键盘。
A. 对
B. 错"
40,复制命令,"在Linux系统中，复制命令主要由cp命令来实现，cp命令用于复制文件或目录，它将一个文件复制到另一个文件，或将一组文件复制到另一个目录。命令格式如下：
```
cp [选项]... [-T] 源文件 目标文件
cp [选项]... 源文件... 目录
cp [选项]... --target-directory=目录 源文件...
```
常用选项包括：
-i：覆盖前询问，如果目标文件已经存在，那么在覆盖前会询问是否确定。
-r：递归复制，用于目录的复制操作。
-p：保留源文件或目录的属性。","复制命令所产生的新文件和原文件i节点号相同。
A. 对
B. 错"
41,i节点（Inode）,i节点是Linux文件系统的基本概念，每个文件和目录在创建时都会分配一个i节点。i节点包含了文件的元信息，如文件类型、权限、所有者、大小、创建时间、最后访问时间、最后修改时间等。每个i节点在文件系统中都有一个唯一的i节点号。当我们在Linux系统中复制文件时，系统会为新文件分配一个新的i节点，即使新文件的内容与原文件完全相同，它们的i节点号也是不同的。,"复制命令所产生的新文件和原文件i节点号相同。
A. 对
B. 错"
42,非登录Shell与登录Shell,Shell 可以分为登录Shell和非登录Shell。登录Shell是用户通过输入用户名和密码登录到系统后得到的Shell，例如通过ssh或者控制台登录。非登录Shell则是在已经登录的基础上新开启的Shell，例如在终端中打开一个新的终端窗口。,"打开非登录shell时，需要执行的用户配置文件为（）。
A. ~/.bashrc
B. ~/.bash_logout
C. ~/.bash_profile
D. /etc/profile"
43,Shell配置文件,在Linux系统中，当Shell启动时，它会读取一些配置文件，这些文件包含了用于初始化Shell的命令。这些文件通常包含环境变量设置、命令别名等。不同的Shell和不同的登录方式（登录Shell和非登录Shell）会读取不同的配置文件。,"打开非登录shell时，需要执行的用户配置文件为（）。
A. ~/.bashrc
B. ~/.bash_logout
C. ~/.bash_profile
D. /etc/profile"
44,~/.bashrc,这是一个用户级别的配置文件，用于非登录Shell。当用户打开一个新的Shell窗口（非登录Shell）时，Shell会读取这个文件。这个文件通常包含了用户自定义的环境变量，命令别名等。,"打开非登录shell时，需要执行的用户配置文件为（）。
A. ~/.bashrc
B. ~/.bash_logout
C. ~/.bash_profile
D. /etc/profile"
45,~/.bash_logout,当bash shell登录退出时，会执行此文件。,"打开非登录shell时，需要执行的用户配置文件为（）。
A. ~/.bashrc
B. ~/.bash_logout
C. ~/.bash_profile
D. /etc/profile"
46,~/.bash_profile,这是一个用户级别的配置文件，用于登录Shell。当用户登录到系统时，Shell会读取这个文件。这个文件通常包含了用户自定义的环境变量，命令别名等。,"打开非登录shell时，需要执行的用户配置文件为（）。
A. ~/.bashrc
B. ~/.bash_logout
C. ~/.bash_profile
D. /etc/profile"
47,/etc/profile,这是一个系统级别的配置文件，用于所有用户的登录Shell。当任何用户登录到系统时，Shell会读取这个文件。这个文件通常包含了系统级别的环境变量，命令别名等。,"打开非登录shell时，需要执行的用户配置文件为（）。
A. ~/.bashrc
B. ~/.bash_logout
C. ~/.bash_profile
D. /etc/profile"
48,df命令,"df命令用于显示文件系统的总的磁盘空间使用情况，可以查看磁盘被占用了多少空间，还有多少空间可以使用，以及磁盘的挂载点情况。使用说明：
```
df [选项]... [文件]...
-a, --all     包括所有的文件系统
-h, --human-readable     以K、M、G为单位，提高信息的可读性
-H, --si     同样以K、M、G为单位，但和-h的区别是这里的1K等于1000，而不是1024
-i, --inodes     显示inode信息
-P, --portability     使用POSIX输出格式
--sync     在获取信息前，执行sync命令
-T, --print-type     显示文件系统类型
-t, --type=类型     仅显示选定的文件系统类型的磁盘信息
-x, --exclude-type=类型     列出的文件系统中不包括选定的文件系统类型
```","显示已经挂装的文件系统磁盘inode使用状况的命令是（）?
A.df–i
B.su–I
C.du–I
D.free–i"
49,inode,在UNIX风格的文件系统中，inode（索引节点）是文件系统的一部分，用于存储文件或目录的元数据（但不包括文件名或文件的实际数据）。每个文件都有一个与之关联的inode，包含该文件的大小、创建、修改和访问时间、文件的所有者和权限等信息。因此，查看文件系统的inode使用情况就是查看文件系统元数据的使用情况，对于诊断文件系统问题以及运维工作来说是非常重要的。,"显示已经挂装的文件系统磁盘inode使用状况的命令是（）?
A.df–i
B.su–I
C.du–I
D.free–i"
50,Shell,Shell是一个命令行解释器，它为用户提供了一个向Linux内核发送请求以便运行程序的界面系统级程序。用户可以使用Shell来启动、挂起、停止甚至是编写一些程序。,"下列属于shell版本的是（）。
A. bash
B. sh
C. dsh
D. csh"
51,bash,bash是Bourne-Again shell的简称，由GNU项目开发，是一个sh的替代品。除了包含sh的功能，它还包含了一堆自己的特性。,"下列属于shell版本的是（）。
A. bash
B. sh
C. dsh
D. csh"
52,sh,sh（Bourne shell）是最早的Unix Shell之一，由Steve Bourne在AT&T贝尔实验室开发。许多Unix/Linux操作系统，如AIX、Solaris、HP-UX等，都包含了这个版本的Shell。,"下列属于shell版本的是（）。
A. bash
B. sh
C. dsh
D. csh"
53,dsh,dsh（Distributed Shell）是一个用于在多个远程机器上执行命令的工具，但它并不是一个真正意义上的Shell，而是一个工具。,"下列属于shell版本的是（）。
A. bash
B. sh
C. dsh
D. csh"
54,csh,csh（C shell）是由Bill Joy为BSD Unix所开发的一种Unix shell。它的语法比Bourne shell更接近C语言，因此得名。,"下列属于shell版本的是（）。
A. bash
B. sh
C. dsh
D. csh"
55,vi编辑器,vi是一种文本编辑器，它在Unix和类Unix的环境中广泛使用。vi编辑器有两种模式：命令模式和插入模式。在命令模式下，可以使用键盘命令来导航、复制、粘贴文本或者进入插入模式。在插入模式下，可以像使用常规的文本编辑器那样插入文本。,"vi打开文件后，以波浪号为开头的行表示该行尚未被编辑。
A. 对
B. 错"
56,波浪号（~）行,在vi编辑器中，波浪号（~）表示的是“非文本行”。这些行并不是文件的一部分，而是vi编辑器用来表示文件结束之后的空间。换句话说，这些波浪线表示的是文件的“下边界”。,"vi打开文件后，以波浪号为开头的行表示该行尚未被编辑。
A. 对
B. 错"
57,mv命令,"mv 是 Linux 中的一个命令，用于移动或重命名文件或目录。mv 命令的基本格式如下：
```
mv [options] source dest
```
其中，source 表示源文件或目录，dest 表示目标文件或目录。mv 命令将 source 移动到 dest，如果 dest 是一个已存在的目录，那么 source 将被移动到该目录下。","使用mv命令将文件从一个目录移动到另一个目录，文件i节点号也随之变化。
A. 对
B. 错"
58,i节点（Inode）,在 Linux 系统中，每个文件或目录都由一个 i节点（Inode）来存储其元数据，如文件大小、文件所有者、文件权限、文件创建时间等。i节点号是文件或目录在文件系统中的唯一标识。当创建一个新的文件或目录时，系统会分配一个新的 i节点号。但是，当文件或目录被移动或重命名时，其 i节点号并不会改变。,"使用mv命令将文件从一个目录移动到另一个目录，文件i节点号也随之变化。
A. 对
B. 错"
59,命令模式,在Vim编辑器中，命令模式是三种模式之一，另外两种模式是插入模式和末行模式。在命令模式下，键盘输入的任何字符都被视为命令，而不是输入到文件中。命令模式下的命令可以用来移动光标、复制和粘贴文本、查找和替换文本等等。,"命令模式下左移一个字符，可以使用按键（）
A. l
B. backspace
C. <-(向左方向键)
D. h"
60,Vim命令,"Vim编辑器中有许多命令，包括移动光标的命令。在命令模式下，""h""键用于将光标向左移动一个字符，""l""键用于将光标向右移动一个字符，""<-""向左方向键也可以用于将光标向左移动一个字符。""backspace""键在命令模式下通常用于删除光标左侧的字符，但在一些配置中，也可以用于将光标向左移动一个字符。","命令模式下左移一个字符，可以使用按键（）
A. l
B. backspace
C. <-(向左方向键)
D. h"
61,文件名匹配,这是与文件名有关的一种规则，主要使用在linux shell中，与读取、查找、操作文件相关的命令都可能涉及到文件名匹配。主要使用一些特殊符号来匹配不同的文件名，如*，?，[...]等。,"匹配report[!1-3]的文件名是（）。
A. report2
B. report4
C. reporta
D. report"
62,字符类匹配(Character Class Matches),在文件名匹配中，[]代表字符类匹配。它的功能是在一组字符中选择一个进行匹配。例如，[abc] 可以匹配到 a，b 或者 c。,"匹配report[!1-3]的文件名是（）。
A. report2
B. report4
C. reporta
D. report"
63,否定字符类匹配(Negating Character Class Matches),在字符类匹配中，如果在方括号中的第一个位置放置感叹号(!)，则代表否定的意思。也就是不匹配括号中的任意字符。例如，[!abc] 匹配的是除了 a，b，c 之外的任何一个字符。,"匹配report[!1-3]的文件名是（）。
A. report2
B. report4
C. reporta
D. report"
64,Notepad,Notepad是Windows操作系统下的一款简单文本编辑器，它不支持Linux系统。,"Linux下常用文本编辑工具是？ （）
A. Notepad
B. EditPlus
C. DreamWeaver
D. VIM"
65,EditPlus,EditPlus是一款Windows下的文本编辑器，具有HTML编辑和工具支持，但它也不支持Linux系统。,"Linux下常用文本编辑工具是？ （）
A. Notepad
B. EditPlus
C. DreamWeaver
D. VIM"
66,DreamWeaver,DreamWeaver是一款用于网页设计和开发的工具，支持HTML，CSS，JavaScript，PHP等网页开发技术，主要在Windows和MacOS系统中使用，不支持Linux系统。,"Linux下常用文本编辑工具是？ （）
A. Notepad
B. EditPlus
C. DreamWeaver
D. VIM"
67,VIM,VIM是一款在Unix，Linux等操作系统下广泛使用的文本编辑器，它是Vi编辑器的升级版，具有编程环境的特性，如语法高亮，代码折叠，多窗口，插件系统等。VIM有命令模式，插入模式和底行模式等多种模式，每种模式下的键盘操作都不同，这使得VIM具有很高的效率，但也使得初学者有一定的学习曲线。,"Linux下常用文本编辑工具是？ （）
A. Notepad
B. EditPlus
C. DreamWeaver
D. VIM"
68,who命令,who 命令在Linux中用于显示当前系统中已登录的用户信息。它会显示每个用户的登录名，他们的终端类型，以及他们的登录时间。这是系统管理员了解系统运行状态的常用命令。,"用于显示当前系统中登录用户信息的命令是？
A. who
B. here
C. logged
D. login"
69,here命令,"在Linux中，""here""不是一个命令。它可能是""here document""的一部分，""here document""是一种在shell脚本中定义多行字符串的方法。","用于显示当前系统中登录用户信息的命令是？
A. who
B. here
C. logged
D. login"
70,logged命令,"在Linux中，""logged""不是一个命令。可能用户想要提到的是""log""或""log files""，这些是记录系统和应用程序活动的文件。","用于显示当前系统中登录用户信息的命令是？
A. who
B. here
C. logged
D. login"
71,login命令,login 命令在Linux中用于创建一个新的登录会话。它会提示用户输入用户名和密码，然后启动一个新的shell。这不是用于显示当前登录用户信息的命令。,"用于显示当前系统中登录用户信息的命令是？
A. who
B. here
C. logged
D. login"
72,GCC编译器,GCC（GNU Compiler Collection，GNU编译器套件）是由GNU开发的编程语言编译器。GCC是自由软件基金会（FSF）的关键项目，旨在为GNU系统提供一个完全免费的编译器。GCC原本只能编译C语言，现在已经可以编译C++、Java、Ada等多种语言。GCC是大多数Unix和Linux系统默认的编译器。,"使用gcc编译后的目标文件一般以什么名称结尾？ （）
A. a
B. i
C. o
D. u"
73,GCC编译流程,GCC编译流程主要包括四个步骤：预处理、编译、汇编和链接。预处理阶段处理源代码文件中的预处理指令（如,"使用gcc编译后的目标文件一般以什么名称结尾？ （）
A. a
B. i
C. o
D. u"
74,ls命令,ls命令在Linux系统中用于列出目录的内容，包括文件和子目录。它有许多选项，可以用来改变输出的格式，例如，按文件大小排序，显示隐藏文件，显示文件的详细信息等。,"进入某一文件夹的命令是？ （）
A. ls
B. cd
C. ll
D. help"
75,cd命令,"cd命令在Linux系统中用于改变当前工作目录。你可以使用相对路径或绝对路径来指定你想要切换到的目录。例如，""cd /home/user""将把工作目录切换到""/home/user""，而""cd ..""将把工作目录切换到当前目录的上一级目录。","进入某一文件夹的命令是？ （）
A. ls
B. cd
C. ll
D. help"
76,ll命令,ll命令是ls -l的别名，用于列出目录的详细内容。输出的信息包括文件的权限，所有者，大小，最后修改时间等。,"进入某一文件夹的命令是？ （）
A. ls
B. cd
C. ll
D. help"
77,help命令,"help命令在Linux系统中用于显示Shell内置命令的帮助信息。你可以使用""help <命令>""来查看特定命令的使用方法和选项。","进入某一文件夹的命令是？ （）
A. ls
B. cd
C. ll
D. help"
78,UNIX系统,UNIX是一个强大的多用户、多任务操作系统，支持多种处理器架构。UNIX系统的设计理念是“一切皆文件”，它提供了一套简单一致的接口来管理和使用系统资源。UNIX的许多特性，如分层文件系统、简单的文本配置文件、强大的shell脚本等，都深受用户喜爱。,"UNIX系统的开发者是？
A. Dennis Ritchie
B. Ken Thompson
C. Linus Torvalds
D. Bill Gates"
79,Dennis Ritchie,Dennis Ritchie是一位计算机科学家，他是C语言的主要设计者，同时也是UNIX操作系统的共同开发者。他的工作对计算机科学领域产生了深远影响，尤其是在操作系统和编程语言的设计上。,"UNIX系统的开发者是？
A. Dennis Ritchie
B. Ken Thompson
C. Linus Torvalds
D. Bill Gates"
80,Ken Thompson,Ken Thompson是一位计算机科学家，他是UNIX操作系统的主要开发者之一，同时也是Go编程语言的创造者。他在操作系统设计、编程语言设计以及计算机游戏设计等多个领域都有深远影响。,"UNIX系统的开发者是？
A. Dennis Ritchie
B. Ken Thompson
C. Linus Torvalds
D. Bill Gates"
